,name,con,proper,absmag,newra,newdec,newdist,newmag,spectral_type,temperature
102,Gaia 5959025338092216320,Sco,,-2.479,118.13007478930597,-34.53221371707209,1442.5399280993638,8.316639214210731,A,8280.94104658876
103,Gaia 6726524964367106048,CrA,,-2.159,10.493826946118794,-76.12557379555972,1445.4401538952698,8.641000575602064,K,4523.4674436399055
104,Gaia 4074278407317465088,Sgr,,-1.861,9.49962839934096,20.557394223200404,1445.6702639883526,8.939346240517693,K,4637.22859096697
105,Gaia 6724358784699724800,CrA,,-2.127,87.29850515618931,-29.029617939683757,1448.6227286984754,8.67777647470486,M,3272.237770734297
106,Gaia 4091082415320078848,Sgr,,-1.764,70.9556815897227,52.72255395413962,1461.1260241706043,9.059438380292544,K,4082.492760904539
107,Gaia 4044925093334901760,Sgr,,-1.706,76.76819419708231,14.765033369790794,1463.5324858400927,9.12101183427444,Undefined,
108,Gaia 4111021307130464256,Oph,,-1.137,139.28080680908187,32.99360252827303,1464.2497120619855,9.691075736489903,F,7169.831569528642
109,Gaia 6758862009330046976,Sgr,,-2.055,24.53022047409859,0.5470423630644063,1473.0152697855867,8.78603624456362,Undefined,
110,Gaia 4074604519902320128,Sgr,,-2.54,26.659603635040256,30.589381126233405,1474.2647630430986,8.302877427123061,M,2552.437716918356
111,Gaia 6730373633003902976,CrA,,-1.772,67.38200567835631,-3.79998299665752,1474.7896451214126,9.0716503982559,Undefined,
112,Gaia 4043972499602158592,Sco,,-1.305,96.99317448048038,20.346560940632312,1480.4458820753114,9.54696268157276,Undefined,
113,Gaia 6731162704391823360,Sgr,,-2.288,55.05248682675006,-4.552570668886093,1487.349897052981,8.574065738655309,Undefined,
114,Gaia 4040586626606475264,Sco,,-2.706,99.47491127143763,6.194779588546278,1492.2312396052846,8.163180638146525,Undefined,
115,Gaia 4035321958782500864,Sco,,-0.42,96.00588944635336,-13.33410439087366,1492.8965340869122,10.450148548899096,B,17922.132657191534
116,Gaia 6730632357525159936,CrA,,-1.516,51.480910147534615,-17.652513241384224,1494.6168840661553,9.356649419961204,K,4220.406483981623
117,Gaia 6760061305954327552,Sgr,,-1.739,50.1159163563872,11.06677453210821,1496.2203340932217,9.135977763213226,Undefined,
118,Gaia 6759217740005899264,Sgr,,-1.743,25.237308646467977,5.06084377848884,1496.5471023510866,9.132451951919265,K,3978.4189279144766
119,Gaia 4146052980193708032,Ser,,-2.148,283.5424098436184,55.274344530580514,1498.7345613465018,8.730623612038926,A,9697.28894081955
120,Gaia 6728433476013160448,CrA,,-1.985,57.87131063624401,-28.960045095340128,1499.9769943705282,8.895422990963237,K,4073.7486318183264
121,Gaia 6732980781241413632,CrA,,-1.883,74.31120682207136,-1.6722440575815811,1502.7142270751513,9.001381990743504,M,3311.4826882494785
122,Gaia 6722400043393075200,CrA,,-2.758,54.41011198208976,-43.46179322129332,1505.3335317984458,8.130163678956077,K,4207.297424832514
123,HIP 88352,CrA,,-4.067,92.96263595884328,-8.435668176117677,1510.0200292562035,6.827913539570998,B,12370.082145733646
124,Gaia 4057199280885773824,Sgr,,-1.94,103.47411994645115,25.682104911018925,1515.2120207772375,8.962367035515218,K,5162.939002655613
125,Gaia 6722162720685965312,CrA,,-1.722,70.69251212805543,-27.051076082567786,1516.4845443854445,9.182189942266314,K,4621.258665534203
126,Gaia 6724727636486476800,CrA,,-1.235,86.2589814031664,-21.06242727581804,1523.5835740972277,9.679331409215386,B,10408.221010936166
127,Gaia 6725349547751424000,CrA,,-0.864,92.20326816612578,-15.231986448118183,1526.422497144492,10.054373791234426,K,4266.008517227074
128,Gaia 6726928824409304064,CrA,,-2.373,345.0268042754107,-67.10614181846896,1527.53567780144,8.546956813038886,K,4820.906105435007
129,Gaia 6731462664904237056,Sgr,,-2.303,7.851823157995137,-31.846621231662475,1529.651377228347,8.619962310303578,Undefined,
130,Gaia 6722450277331212288,CrA,,-1.738,64.94282911835025,-24.574337990617295,1529.9999178959365,9.185457037560733,K,5131.532843317028
131,Gaia 6756193224034416640,Sgr,,-2.253,21.106399314343093,-10.692289265579994,1530.5413604187645,8.671225351009241,Undefined,
132,Gaia 6722766833608054784,CrA,,-2.036,78.26022493083671,-29.328703239117033,1534.3152089303956,8.89357295007423,K,3747.467017668264
133,Gaia 6743509120456907776,Sgr,,-1.943,31.20027534990231,-14.554204751270571,1545.1817291776324,9.001897821191745,Undefined,
134,Gaia 6770057717761746944,Sgr,,-1.959,6.055713699320889,12.109185197991712,1550.9987359663369,8.994057219361162,M,3483.729687697509
135,Gaia 4040586970204268032,Sco,,-1.191,99.14303732286876,7.588452632395499,1552.1572566004834,9.763678598186983,Undefined,
136,Gaia 6725248500092891136,CrA,,-2.627,73.22355851578018,-81.95185448558155,1554.037903131877,8.330308035388427,M,3110.3582309201943
137,Gaia 6764037655383451648,Sgr,,-2.041,356.27236025622085,5.353854493377891,1558.5103887568246,8.92254850776665,K,4452.930890824713
138,Gaia 6722880182075768832,CrA,,-1.879,77.99684720451603,-18.141995927755172,1569.39420773465,9.099660226986288,M,2657.135677888094
139,Gaia 4066732016709153792,Sgr,,-2.089,85.01684633378383,47.521575738152954,1570.6796286528145,8.891438055381263,G,5811.512081351611
140,Gaia 4093850195329760256,Sgr,,-1.851,86.92499261867677,49.95111546423383,1573.240831148734,9.132976046788183,G,5692.1283528279655
141,Gaia 4119495483804480000,Sgr,,-1.14,108.23758875341836,56.47412255369689,1580.423568251795,9.85386748762545,A,8178.517314679786
142,Gaia 4077294337728664576,Sgr,,-2.287,75.52414968901398,40.63037534780553,1584.9395694999148,8.71306354055104,K,4988.387690778303
143,Gaia 4066343541134169088,Sgr,,-1.012,83.426115703349,43.246067965956634,1587.2989983753291,9.99129371100658,F,6402.526225409089
144,Gaia 6762772151859814400,Sgr,,-1.955,31.16534824795649,14.627888550427596,1587.876465162159,9.049083559141424,K,3917.9429398899183
145,Gaia 4053555950372807168,Sco,,-2.792,109.43078496666372,11.789812425752562,1589.432193624304,8.214210026579755,Undefined,
146,Gaia 6723277556761767936,CrA,,-0.555,78.33666519101867,-10.704139660410869,1596.5126609596246,10.460861835057235,F,6388.888888888889
147,Gaia 4099252134663662592,Sgr,,-2.366,338.6144874160196,45.22611941336295,1597.898977432611,8.651746594131337,K,4025.4950199700606
148,Gaia 6726319596201519104,CrA,,-1.729,79.56766068922565,-7.801820349803919,1599.5422083076742,9.29097852311112,M,3137.5380602399864
149,Gaia 4076742722109571072,Sgr,,-1.867,64.88033168266746,39.56723528038219,1601.210980499403,9.155242798353031,M,3355.206486049545
150,Gaia 4096385295578625536,Sgr,,-2.267,72.31302827504125,59.55353055842741,1602.06703790264,8.75640342510205,K,4159.34343530349
151,Gaia 6756019565613846528,Sgr,,-1.562,11.270483464497236,-19.96034806485812,1603.9810772056512,9.463996202179493,Undefined,
152,Gaia 4090437006352793600,Sgr,,-1.736,79.61898957364141,45.17649791460883,1604.1506337280282,9.290225735966574,A,8469.260849151975
153,Gaia 6723500207861061632,CrA,,-2.08,71.67095739553001,-9.508721112827816,1606.959605817991,8.95002480014891,M,3166.2457914771016
154,Gaia 6721748033004137472,CrA,,-2.284,63.91025678987335,-55.76257401665407,1609.2253103861556,8.74908427334461,K,3784.504080361526
155,Gaia 4134538348998093824,Oph,,-2.132,201.665641185959,35.919497134616755,1610.7244704223824,8.903106283073296,K,4226.050862635098
156,Gaia 6724680769803184128,CrA,,-1.275,84.18767750220367,-11.675428447364824,1611.647159575029,9.76134983553859,K,3728.5037052186494
157,Gaia 6720948241382864896,CrA,,-1.746,89.15476829757226,-30.39536567390699,1614.7558552715934,9.29453434007356,M,2687.835675303797
158,Gaia 6720407453452664832,CrA,,-2.028,67.52181085835896,-58.23549795666736,1621.764409355394,9.02193882660076,M,3155.931164187986
159,Gaia 4104468419633598976,Sct,,-2.085,1.6951353430259108,66.94095954909818,1622.7099174605864,8.966204452162689,F,7474.5981116193
160,Gaia 4082030410967305728,Sgr,,-1.271,19.004234290314095,33.711428950558734,1623.936773718911,9.781845582162724,A,8729.617638700298
161,Gaia 4081931184361487872,Sgr,,-1.975,342.6570749747849,21.877152851068352,1625.193347030837,9.079525179046822,F,6162.077018642838
162,Gaia 4062909186591332864,Sgr,,-2.046,91.79170038664358,31.706176749037656,1625.7327322843803,9.009245749234111,F,7216.76297425465
163,Gaia 4137018984656891904,Ser,,-1.792,195.79378012903345,55.64821181938845,1626.9592891140808,9.26488342929919,A,8597.263255649295
164,Gaia 6758905508758833152,Sgr,,-1.204,41.34073535158334,11.481577119979631,1630.4163125501575,9.857492559314815,Undefined,
165,Gaia 4053042267940811264,Sgr,,-1.389,81.63298993360364,36.128268367004424,1631.9152654724903,9.674488024867737,A,8155.2755247206
166,Gaia 6722776763572373504,CrA,,-2.197,49.430608316096254,-68.46778408529656,1632.194327588241,8.866859321032333,F,6859.013236653516
167,HIP 91046,Sgr,,-3.66,63.66476375910367,46.35061229891984,1632.9543575086875,7.404870229993385,A,8132.178585158677
168,Gaia 4044680997403790336,Sgr,,-1.228,81.95140049417961,15.663269293040557,1633.44746217154,9.837525852441347,Undefined,
169,Gaia 6723627334586754048,CrA,,-1.444,77.32456589494298,-6.724655842026857,1635.735794295367,9.62456578657316,K,4308.727009145039
170,Gaia 4103753329156033024,Sct,,-2.676,343.51949669047934,63.0761183612495,1642.449338368765,8.401459912753566,M,3376.3366050320615
171,Gaia 4057648912424566784,Sgr,,-1.453,100.52331912530904,30.744371856008225,1649.195370674808,9.633360535287622,K,4157.521863086468
172,Gaia 6725212589833624576,CrA,,-1.222,90.93265739700873,-11.648862907915513,1650.174917377598,9.865649907813728,M,3286.7019790028166
173,Gaia 4047492242481532928,Sgr,,-0.483,70.3475425001577,24.548040145019975,1652.7654447688403,10.60805612124349,O,41732.75122297128
174,Gaia 5980177158711120896,Sco,,-3.012,198.76946840561084,-26.751188315641812,1657.7986442852732,8.085658900714595,Undefined,
175,Gaia 6723069577266675712,CrA,,-1.759,80.09928716390306,-12.78701259319509,1659.0748691557287,9.340329924478429,M,3614.6905071088463
176,Gaia 6710207696391829504,CrA,,-2.278,71.1633327860246,-22.444238959375884,1664.9726595566897,8.829035531850877,M,3048.7827899985996
177,Gaia 6736335769182354432,Sgr,,-1.233,73.08504032749872,14.550790941932034,1673.078077097814,9.884581042712547,Undefined,
178,Gaia 6721021736865816576,CrA,,-1.782,89.73880832172783,-20.838491905930766,1673.3173232109057,9.335891535808791,K,3709.738609128298
179,Gaia 4052199943358993920,Sgr,,-2.275,283.1318573944095,-24.037003507485124,1676.7082359412288,8.847287487912238,A,9731.412063097674
180,Gaia 6743237742940932096,Sgr,,-1.471,41.20872924158701,-7.842289695738523,1676.9306275936613,9.65157548394146,Undefined,
181,Gaia 6732838394478092288,Sgr,,-1.23,61.881982893081265,11.563537327159215,1677.580512539097,9.8934168627219,Undefined,
182,Gaia 5956268243932191744,Sco,,-1.32,95.84466105947348,-15.22012066408605,1678.5920648894032,9.804725828834524,K,4855.967573618857
